VVR,Viva Energy REIT Stapled Securities,Real Estate,"1,451,500,000",0.09,,,
WBC,Westpac Banking Corp,Financials,"97,427,400,000",5.83,,,
WEB,Webjet Limited,Consumer Discretionary,"1,313,080,000",0.08,,,
WES,Wesfarmers Limited,Consumer Staples,"47,122,400,000",2.82,,,
WFD,Westfield Corp Stapled Securities,Real Estate,"17,705,300,000",1.06,,,
WHC,Whitehaven Coal,Energy,"4,565,900,000",0.27,,,
WOR,Worleyparsons Limited,Energy,"3,916,350,000",0.23,,,
WOW,Woolworths Group Limited,Consumer Staples,"34,301,900,000",2.05,,,
WPL,Woodside Petroleum,Energy,"27,373,100,000",1.64,,,
WSA,Western Areas Limited,Materials,"853,841,000",0.05,,,
WTC,Wisetech Global Limited,Information Technology,"2,745,120,000",0.16,,,
XRO,Xero Limited,Information Technology,"4,629,740,000",0.28,,,
